SDK,Data Types Collected,Linked to User Identity,Used for Tracking,Purpose,Source,
Flurry: Revenue Analytics,Purchases,Draft,Draft,Analytics,https://www.flurry.com/blog/flurry-guidance-apple-app-privacy-details/,
AppsFlyer,"Email address (including hashed)*(Look at your implementation)
",Yes,No,"App Functionality, Analytics",https://support.appsflyer.com/hc/en-us/articles/207032086-Preparing-for-the-App-Store-review-nutrition-labels,
AppsFlyer,"Phone number (including hashed)
*(Look at your implementation)",Yes,No,"App Functionality, Analytics",,
AppsFlyer,Coarse location,Yes,No,"App Functionality, Analytics",,
AppsFlyer,User ID,Yes,No,"App Functionality, Analytics",,
AppsFlyer,Device ID,Yes,Yes(If ATT enabled),"Third-Party Advertising, Analytics, App Functionality",,
AppsFlyer,Purchase history*(Optional),Yes,No,"App Functionality, Analytics",,
AppsFlyer,Product interaction,Yes,No,"App Functionality, Analytics",,
AppsFlyer,Advertising Data*(If AppsFlyer ad revenue is used),Yes,Yes(If ATT enabled),"Third-party advertising, Analytics, App Functionality",,
AppsFlyer,Performance data,Yes,No,"App Functionality, Analytics",,
AppsFlyer,"Other data(IDFV, AppsFlyer ID, Technical device information)",Yes,Draft,Draft,,
MoPub,Precise Location*(Check configuration),Yes,Yes,"Third-Party Advertising, Analytics",https://developers.mopub.com/publishers/ios/app-privacy-details/,
MoPub,Coarse Location*(Check configuration),Yes,Yes,"Third-Party Advertising, Analytics",,
MoPub,Device ID,Yes,Yes(If ATT enabled),"Third-Party Advertising, Analytics",,
MoPub,Product Interaction,Yes,Yes,"Third-Party Advertising, Analytics",,
MoPub,Advertising Data,Yes,Yes,"Third-Party Advertising, Analytics",,
MoPub,Other Data Types*(device make and model data as well as cell carrier data where available),Yes,Yes,"Third-Party Advertising, Analytics",,
AdColony,Coarse Location,Yes,Yes,"Third-Party Advertising, Analytics, Other Purposes",https://www.adcolony.com/blog/2020/11/19/get-your-ios-14-nutritional-label-ready/,
AdColony,Customer Support,Yes,Yes,"Third-Party Advertising, Analytics, Other Purposes",,
AdColony,User ID,Yes,Yes,"Third-Party Advertising, Analytics, Other Purposes",,
AdColony,Device ID,Yes,Yes,"Third-Party Advertising, Analytics, Other Purposes",,
AdColony,Product Interaction,Yes,Yes,"Third-Party Advertising, Analytics, Other Purposes",,
AdColony,Advertising Data,Yes,Yes,"Third-Party Advertising, Analytics, Other Purposes",,
AdColony,Purchases,Yes,Yes,"Third-Party Advertising, Analytics, Other Purposes",,
AdColony,Crash Data,Yes,Yes,"Third-Party Advertising, Analytics, Other Purposes",,
AdColony,Performance Data,Yes,Yes,"Third-Party Advertising, Analytics, Other Purposes",,
ironSource,Device ID,Yes,Yes,Third-Party Advertising,https://developers.is.com/ironsource-mobile/unity/apples-privacy-questionnaire-answers-ironsource/,
ironSource,Product Interaction*,Yes,No,Third-Party Advertising,,
ironSource,Advertising Data,Yes,No,Third-Party Advertising,,
ironSource,Performance Data,Yes,No,Third-Party Advertising,Confirmed by support team,
Fyber,Precise Location*(Optional),Yes,Yes,Third Party Advertising,https://developer.fyber.com/hc/en-us/articles/360015740457-Apple-s-App-Privacy-Details,
Fyber,Coarse Location*(Optional),Yes,Yes,Third Party Advertising,,
Fyber,User ID,Yes,Yes,Third Party Advertising,,
Fyber,Device ID,Yes,Yes,Third Party Advertising,,
Fyber,Advertising Data,Yes,Yes,Third Party Advertising,,
Fyber,Crash Data,,,Third Party Advertising,,
Fyber,Customer Support*(Offer Wall Customers only),Yes,No,"
App Functionality",,
Intercom,Email address,Yes,No,"Developer’s Advertising or Marketing, App Functionality",https://www.intercom.com/help/en/articles/4686934-apple-s-app-store-data-privacy-details-and-intercom-s-ios-sdk,
Intercom,Coarse location,Yes,No,App Functionality,,
Intercom,Photos or Videos,Yes,No,App Functionality,,
Intercom,Customer Support,Yes,No,App Functionality,,
Intercom,Search History,Yes,No,"Analytics, App Functionality",,
Intercom,Device ID,Yes,No,"Developer’s Advertising or Marketing, App Functionality., Analytics",,
Intercom,Product Interaction,Yes,No,"Developer’s Advertising or Marketing, App Functionality., Analytics",,
Intercom,Custom Data as Events - Please check,Yes,No,Check from above purposes,,
Mixpanel,Coarse Location,Yes,No,"Developer’s Advertising or Marketing, Analytics",https://mixpanel.com/legal/app-store-privacy-details/,
Mixpanel,User ID,Yes,No,"Developer’s Advertising or Marketing, Analytics",,
Mixpanel,Device ID,Yes,No,"Developer’s Advertising or Marketing, Analytics",,
Mixpanel,Product Interaction,Yes,No,"Developer’s Advertising or Marketing, Analytics",,
Mixpanel,Custom Data as Events - Please check with developers who implemented Mixpanel,Yes,No,"Developer’s Advertising or Marketing, Analytics",,
Stripe,User ID,Yes,No,App Functionality,https://support.stripe.com/questions/stripe-ios-sdk-privacy-details,
Stripe,Product Interaction,No,No,"App Functionality, Analytics",,
Stripe,"Payment Info*(Optional, need to look at implementation)","Yes*(Mostly you will be linking this to a user-id, check this once)",No,App Functionality,,
Stripe,"Contact Info*(Optional, need to look at implementation)","Yes*(Mostly you will be linking this to a user-id, check this once)",No,App Functionality,,
Revenue Cat,Purchases,Yes,No,"Analytics, App Functionality",https://docs.revenuecat.com/docs/apple-app-privacy,
Revenue Cat,User ID,Yes,No,"Analytics, App Functionality",,
Revenue Cat,Device ID,Yes,No,"Analytics, App Functionality",,
Revenue Cat,"Contact Info*(Optional, need to look at implementation)",Draft,Draft,Draft,,
,,,,,,
,,,,,,
